record_id,doi,material_name,carbonization_temperature_C,carbonization_time_h,heating_rate_C_min,d002_nm,la_nm,lc_nm,id_ig,ssa_m2_g,pore_volume_cm3_g,category,electrolyte_text,current_density_mA_g,ice,plateau_capacity_mAh_g,reversible_capacity_mAh_g,rate_capability,electrolyte_type,lce
29.0,Tuning Nanopore Structure of Hard Carbon Anodes by Zinc Gluconate for High Capacity Sodium Ion Batteries,GLU,1400,2.0,5.0,0.379,3.83,1.07,1.007,14.2817,,醚类,1 M NaCF3SO3 in DIGLYME,50.0,0.893,160.0,272.73,212.3,1.0,2.121757746414593
,Tuning Nanopore Structure of Hard Carbon Anodes by Zinc Gluconate for High Capacity Sodium Ion Batteries, GLU-Zn5,1400,2.0,5.0,0.383,3.66,0.84,1.116,3.5726,,醚类,1 M NaCF3SO3 in DIGLYME,50.0,0.823,203.64,327.27,200.9,1.0,1.5368064681032403
,Tuning Nanopore Structure of Hard Carbon Anodes by Zinc Gluconate for High Capacity Sodium Ion Batteries,GLU-Zn10,1400,2.0,5.0,0.393,3.71,0.99,1.057,4.6857,,醚类,1 M NaCF3SO3 in DIGLYME,50.0,0.84,210.0,333.48,229.8,1.0,1.6582280766035322
,Tuning Nanopore Structure of Hard Carbon Anodes by Zinc Gluconate for High Capacity Sodium Ion Batteries,GLU-Zn20,1400,2.0,5.0,0.378,3.13,1.42,1.012,4.4029,,醚类,1 M NaCF3SO3 in DIGLYME,50.0,0.788,154.18,256.73,106.1,1.0,1.312911815185867
33.0,Unlocking the local structure of hard carbon to grasp sodium-ion diffusion behavior for advanced sodium-ion batteries,BA ,1200,2.0,5.0,0.372,4.31,,0.95,5.51,0.00264,酯类,"1 M
NaPF6 dissolved in EC/EDC (volume ratio, 1:1) ",50.0,0.668,164.2,347.6,136.8,0.0,0.6991532046201573
,Unlocking the local structure of hard carbon to grasp sodium-ion diffusion behavior for advanced sodium-ion batteries,MNMZ,1200,2.0,5.0,0.377,3.22,,1.42,68.1,0.408,酯类,"1 M
NaPF6 dissolved in EC/EDC (volume ratio, 1:1) ",50.0,0.4755,226.7,369.2,87.2,0.0,-0.09807854585090683
,Unlocking the local structure of hard carbon to grasp sodium-ion diffusion behavior for advanced sodium-ion batteries,py,1200,2.0,5.0,0.358,5.42,,1.32,5.27,0.0596,酯类,"1 M
NaPF6 dissolved in EC/EDC (volume ratio, 1:1) ",50.0,0.5956,187.8,349.2,71.8,0.0,0.3871648136635377
,Unlocking the local structure of hard carbon to grasp sodium-ion diffusion behavior for advanced sodium-ion batteries,MMZ,1200,2.0,5.0,0.364,2.85,1.04,1.43,0.404,0.0094,酯类,"1 M
NaPF6 dissolved in EC/EDC (volume ratio, 1:1) ",50.0,0.6802,109.9,206.5,23.9,0.0,0.7546910721732413
,Unlocking the local structure of hard carbon to grasp sodium-ion diffusion behavior for advanced sodium-ion batteries,IQL,1200,2.0,5.0,0.365,3.0,0.78,1.17,0.739,0.00097,酯类,"1 M
NaPF6 dissolved in EC/EDC (volume ratio, 1:1) ",50.0,0.6742,99.2,220.0,61.5,0.0,0.7272431066320156
49.0,A superior sodium-ion anode material from PAN/Lignin-derived carbon nanofibers with inter-connected structure prepared through phosphoric acid induced cross-linking,CNFs,800,1.0,5.0,0.355,,,1.62,294.5,0.155,醚类,"1.0 M NaPF6 in a solvent of 1, 2-Dimethoxyethane (DME)",200.0,0.485,0.0,170.0,121.3,1.0,-0.06001800972625304
51.0,"Advanced Carbon Based Materials for Fabrications of Sodium Ion Hybrid Capacitors
with High Electrochemical Performance",MCC-650,650,1.0,3.0,0.365,,,2.18,1529.1,1.449,酯类,"1M NaClO4 in ethylene
carbonate (EC)/dimethyl carbonate (DMC) (1 : 1 by volume) with
5 vol% fluoroethylene carbonates (FEC). ",100.0,0.147,0.0,168.42,,0.0,-1.7583269607129428
57.0,Agar-Derived Slope-Dominated Carbon Anode with Puparium Like Nano-Morphology for Cost-Effective SIBs,HC,750,2.0,3.0,0.378,,,1.29,1752.0,1.5456,酯类,1.0 M NaClO4 in ethylene carbonate/diethyl carbonate (1:1 v/v),100.0,0.331,0.0,256.0,,0.0,-0.7036656847511655
,Agar-Derived Slope-Dominated Carbon Anode with Puparium Like Nano-Morphology for Cost-Effective SIBs,P-HC-2,750,2.0,3.0,0.391,,,2.04,706.0,0.6814,酯类,1.0 M NaClO4 in ethylene carbonate/diethyl carbonate (1:1 v/v),100.0,0.421,0.0,394.0,243.0,0.0,-0.31866964389061386
62.0,Amine–Aldehyde Condensation-Derived N-Doped Hard Carbon Microspheres for High-Capacity and Robust Sodium Storage,NHCM-1200,1200,3.0,3.0,0.41,8.9,2.5,2.69,14.5,,醚类,1.0 M NaPF6 in Diglyme,30.0,0.71,174.72,336.0,139.7,1.0,0.8953840470548413
,Amine–Aldehyde Condensation-Derived N-Doped Hard Carbon Microspheres for High-Capacity and Robust Sodium Storage,NHCM-1400,1400,3.0,3.0,0.37,11.5,3.0,1.99,8.6,,醚类,1.0 M NaPF6 in Diglyme,30.0,0.87,203.49,399.0,319.2,1.0,1.900958761193047
65.0,An effective strategy to prepare non-graphitic carbon with increased pseudo-graphitic content for sodium-ion battery anode with enhanced plateau capacity,FC-800,1400,2.0,3.0,0.363,,,1.49,14.3,0.031,酯类,1 M NaPF6 in ethylene carbonate (EC)/diethyl carbonate (DEC) (1:1 in volume),20.0,0.842,174.9,279.9,46.3,0.0,1.6731849812153599
,An effective strategy to prepare non-graphitic carbon with increased pseudo-graphitic content for sodium-ion battery anode with enhanced plateau capacity,FC-0.5–600,1400,2.0,3.0,0.371,,,1.62,26.3,0.032,酯类,1 M NaPF6 in ethylene carbonate (EC)/diethyl carbonate (DEC) (1:1 in volume),20.0,0.84,186.9,287.3,46.0,0.0,1.6582280766035322
,An effective strategy to prepare non-graphitic carbon with increased pseudo-graphitic content for sodium-ion battery anode with enhanced plateau capacity,FC-800–0.5–600,1400,2.0,3.0,0.37,,,1.54,6.8,0.022,酯类,1 M NaPF6 in ethylene carbonate (EC)/diethyl carbonate (DEC) (1:1 in volume),20.0,0.847,218.6,326.8,50.0,0.0,1.7112627732596188
69.0,Biopolymer-Based Hard Carbons: Correlations between Properties and Performance as a Na-Ion Battery Anode,HC-Cell,1500,1.0,5.0,0.378,4.2,1.1,1.61,12.1,0.0084,酯类,"NaPF6 (1 M) in ethylene carbonate and dimethyl carbonate (EC/DMC, 1:1 vol) with 2% fluoroethylene carbonate (FEC)",37.2,0.87,214.83,307.6,,0.0,1.900958761193047
,Biopolymer-Based Hard Carbons: Correlations between Properties and Performance as a Na-Ion Battery Anode,HC-L,1500,1.0,5.0,0.375,4.5,1.1,1.64,6.0,0.0052,酯类,"NaPF6 (1 M) in ethylene carbonate and dimethyl carbonate (EC/DMC, 1:1 vol) with 2% fluoroethylene carbonate (FEC)",37.2,0.803,194.29,273.2,,0.0,1.4051509852087734
,Biopolymer-Based Hard Carbons: Correlations between Properties and Performance as a Na-Ion Battery Anode,HC-Ch,1500,1.0,5.0,0.373,4.5,1.2,1.59,2.4,0.0031,酯类,"NaPF6 (1 M) in ethylene carbonate and dimethyl carbonate (EC/DMC, 1:1 vol) with 2% fluoroethylene carbonate (FEC)",37.2,0.86,169.96,256.3,,0.0,1.815289966638249
,Biopolymer-Based Hard Carbons: Correlations between Properties and Performance as a Na-Ion Battery Anode,HC-P-St,1500,1.0,5.0,0.377,4.2,1.1,1.63,2.4,0.0025,酯类,"NaPF6 (1 M) in ethylene carbonate and dimethyl carbonate (EC/DMC, 1:1 vol) with 2% fluoroethylene carbonate (FEC)",37.2,0.886,199.62,291.6,,0.0,2.0505185022105854
,Biopolymer-Based Hard Carbons: Correlations between Properties and Performance as a Na-Ion Battery Anode,HC-R-St,1500,1.0,5.0,0.379,4.0,1.0,1.62,14.7,0.0097,酯类,"NaPF6 (1 M) in ethylene carbonate and dimethyl carbonate (EC/DMC, 1:1 vol) with 2% fluoroethylene carbonate (FEC)",37.2,0.858,205.32,308.6,,0.0,1.7987770418867015
88.0,Carbon nanosheet with controlled porous and disorganized structures as high-rate anode for high-energy Na-ion hybrid capacitors,HS,1100,2.0,,0.36,,,1.78,9.8,,酯类,1 M NaClO4 dissolved in 1:1 (volume ratio) EC and DEC,25.0,0.6834,115.88,257.2,68.5,0.0,0.7694411922342798
,Cellulose as a novel precursor to construct high-performance hard carbon anode toward enhanced sodium-ion batteries,CHC-1100,1100,1.0,5.0,0.404,4.24,1.19,2.58,8.44,,酯类,"1 M NaClO4 dissolved in ethylene carbonate/dimethyl carbonate (EC/DEC, 1:1 in volume) ",30.0,0.679,148.48,327.9,94.3,0.0,0.7491800044286804
,Cellulose as a novel precursor to construct high-performance hard carbon anode toward enhanced sodium-ion batteries,CHC-1300,1300,1.0,5.0,0.397,4.33,1.24,2.39,7.12,,酯类,"1 M NaClO4 dissolved in ethylene carbonate/dimethyl carbonate (EC/DEC, 1:1 in volume) ",30.0,0.714,199.63,373.2,68.6,0.0,0.9148911515197317
,Constructing Abundant Oxygen-Containing Functional Groups in Hard Carbon Derived from Anthracite for High-Performance Sodium-Ion Batteries,A-HC1100,1100,3.0,2.0,0.372,,,1.24,3.88,,酯类,"1.0 mol L-1 NaClO4 in ethylene carbonate (EC) and dimethyl carbonate (DEC), with 1:1 and 5 vol% fluoroethylene carbonate",15.0,0.6729,125.0,305.0,,0.0,0.7213307956499344
112.0,Cow leather-derived N/O codoped hard carbon as a high-performance anode material for sodium-ion batteries,HC700,700,3.0,5.0,0.381,,,3.38,1.08,0.006,醚类,1 M NaPF6 in diglyme,30.0,0.5334,37.6,170.4,,1.0,0.13379925216058425
,Cow leather-derived N/O codoped hard carbon as a high-performance anode material for sodium-ion batteries,HC1100,1100,3.0,5.0,0.374,,,2.66,1.87,0.006,醚类,1 M NaPF6 in diglyme,30.0,0.7913,97.0,217.0,,1.0,1.3327793485319925
,Cow leather-derived N/O codoped hard carbon as a high-performance anode material for sodium-ion batteries,HC1500,1500,3.0,5.0,0.358,,,1.63,4.49,0.01,醚类,1 M NaPF6 in diglyme,30.0,0.7907,118.3,206.2,,1.0,1.329149999624927
,Design advanced nitrogen/oxygen co-doped hard carbon microspheres from phenolic resin with boosted Na-storage performance,N/O-HC-1200,1200,,5.0,0.385,,,2.27,4.71,0.057,酯类,"1.0 M NaClO4 in ethyl carbonate and diethyl carbonate (EC + DEC, 1:1 by volume) with 5% fluoroethylene carbonate (FEC)",30.0,0.816,186.2,319.7,,0.0,1.489478597355121
151.0,Engineering homotype heterojunctions in hard carbon to induce stable solid electrolyte interfaces for sodium-ion batteries,HC,1200,2.0,5.0,0.399,,,1.15,17.84,0.01437,酯类,"1 M NaPF6 in a mixture of ethylene carbonate (EC) and diethyl carbonate (DEC) (1:1, volume ratio)",50.0,0.647,157.88,306.4,60.9,0.0,0.6058782375676038
,Engineering homotype heterojunctions in hard carbon to induce stable solid electrolyte interfaces for sodium-ion batteries,HC-Al2O3-5%,1200,2.0,5.0,0.393,,,1.05,6.9148,0.00986,酯类,"1 M NaPF6 in a mixture of ethylene carbonate (EC) and diethyl carbonate (DEC) (1:1, volume ratio)",50.0,0.811,189.73,334.9,82.7,0.0,1.456521039055771
157.0,Engineering Ultrathin Carbon Layer on Porous Hard Carbon Boosts Sodium Storage with High Initial Coulombic Efficiency,PCS,800,2.0,,0.39,,1.21,2.11,468.0,0.162,醚类,1 M NaPF6 in diethylene glycol dimethyl ether (DEGDME),100.0,0.471,0.0,155.3,75.6,1.0,-0.11613033784188169
,"Enhancing High-Capacity and High-Rate Sodium-Ion Storage through Synergistic N,S Dual Doping of Hard Carbon",S-NC,600,2.0,5.0,0.42,,,1.55,21.15,,酯类,1.0 mol L-1 sodium perchlorate (NaClO4) in ethyl carbonate (EC) and diethyl carbonate (DEC) (1 : 1 in volume ratio) with 5 vol.% fluoroethylene carbonate (FEC) ,100.0,0.507,0.0,464.7,,0.0,0.028001829548493135
161.0,Epoxy phenol novolac resin: A novel precursor to construct high performance hard carbon anode toward enhanced sodium-ion batteries,EPNHC-1400,1400,1.0,2.0,0.389,1.875,1.764,1.408,3.37,0.007264,醚类,"1 mol L-1 NaPF6 dissolved in the solvent of 1,2-Dimethoxyethane (DME)",50.0,0.826,243.07,403.9,290.1,1.0,1.5575394743064488
165.0,Exploring the Storage Mechanism of Alkali Ions in Non-Graphitic Hard Carbon Anodes,HC 900,900,8.0,,0.3749,1.65,1.07,1.71,479.0,,酯类,"1 M NaPF6 in ethylene carbonate/diethyl carbonate (EC/DEC, 1:1 vol ratio) ",15.0,0.482,0.0,164.0,,0.0,-0.07203112820888284
,Exploring the Storage Mechanism of Alkali Ions in Non-Graphitic Hard Carbon Anodes,HC 1100,1100,8.0,,0.3744,1.7,1.11,1.77,277.0,,酯类,"1 M NaPF6 in ethylene carbonate/diethyl carbonate (EC/DEC, 1:1 vol ratio) ",15.0,0.709,108.97,265.0,,0.0,0.8905322593606348
,Exploring the Storage Mechanism of Alkali Ions in Non-Graphitic Hard Carbon Anodes,HC 1300,1300,8.0,,0.3777,1.78,1.14,1.44,1.6,,酯类,"1 M NaPF6 in ethylene carbonate/diethyl carbonate (EC/DEC, 1:1 vol ratio) ",15.0,0.815,141.35,273.0,,0.0,1.4828322881625375
,Exploring the Storage Mechanism of Alkali Ions in Non-Graphitic Hard Carbon Anodes,HC 1400,1400,8.0,,0.3715,2.02,1.23,1.599,29.4,,酯类,"1 M NaPF6 in ethylene carbonate/diethyl carbonate (EC/DEC, 1:1 vol ratio) ",15.0,0.743,175.77,286.0,,0.0,1.0616199598225393
,Exploring the Storage Mechanism of Alkali Ions in Non-Graphitic Hard Carbon Anodes,HC 1500,1500,8.0,,0.3715,2.34,1.24,1.99,2.85,,酯类,"1 M NaPF6 in ethylene carbonate/diethyl carbonate (EC/DEC, 1:1 vol ratio) ",15.0,0.88,137.32,220.0,,0.0,1.9924301646902063
,Exploring the Storage Mechanism of Alkali Ions in Non-Graphitic Hard Carbon Anodes,HC 1600,1600,8.0,,0.3675,2.31,1.32,2.05,16.15,,酯类,"1 M NaPF6 in ethylene carbonate/diethyl carbonate (EC/DEC, 1:1 vol ratio) ",15.0,0.816,128.27,200.0,,0.0,1.489478597355121
173.0,Fabricating multi-porous carbon anode with remarkable initial coulombic efficiency and enhanced rate capability for sodium-ion batteries,MPC,800,2.0,5.0,0.381,,,1.09,547.6,2.564,醚类,1 mol/L NaPF6 in diethylene glycol dimethyl ether (DIGLYME),100.0,0.43,0.0,149.0,224.0,1.0,-0.2818511521409879
175.0,Filling carbon: a microstructure-engineered hard carbon for efficient alkali metal ion storage,FC-3h-1300,1300,2.0,1.0,0.383,4.14,,2.422,74.0,0.219,醚类,1 M NaPF6 in diethylene glycol dimethyl ,20.0,0.807,274.48,435.5,290.7,1.0,1.4306334793650637
180.0,Flaky N-doped hard carbon anode material for sodium-ion batteries,PFNC-1100,1100,2.0,5.0,0.3814,1.32,,1.68,66.996,,酯类, 1mol l-1 NaPF6 in diethyl-carbonate (DEC) : ethylene-carbonate (EC) (1:1 in volume) ,20.0,0.6478,67.89,188.2,,0.0,0.6093828106751233
,Flaky N-doped hard carbon anode material for sodium-ion batteries,PFNC-1300,1300,2.0,5.0,0.3796,1.45,,1.53,35.526,,酯类, 1mol l-1 NaPF6 in diethyl-carbonate (DEC) : ethylene-carbonate (EC) (1:1 in volume) ,20.0,0.7288,157.28,315.5,,0.0,0.9885427898795082
185.0,Flexible carbon nanofibers with multichannel and porous structure as freestanding anode for excellent sodium storage,PCNF-1,1400,2.0,5.0,0.364,,,1.235,69.0,,醚类,1 M NaPF6 dissolved in diglyme,50.0,0.816,166.48,285.5,251.0,1.0,1.489478597355121
,Flexible carbon nanofibers with multichannel and porous structure as freestanding anode for excellent sodium storage,PCNF-2,1400,2.0,5.0,0.362,,,1.224,68.2,,醚类,1 M NaPF6 dissolved in diglyme,50.0,0.826,164.8,292.3,250.0,1.0,1.5575394743064488
,Flexible Precursor Modulation toward Selective Heteroatom Doping in a Hard-Carbon Anode for Sodium-Ion Batteries,N/S HC,1100,4.0,5.0,0.387,,,2.1,29.32,0.0434,酯类,"1 M NaPF6 was dissolved in ethylene carbonate (EC) and di EC (DEC) solvents in a volume ratio of 1:1, and 5% fluoro EC (FEC) additives",30.0,0.66,87.36,290.0,,0.0,0.6632942174102643
,Hard carbon anodes derived from phenolic resin/sucrose cross-linking network for high-performance sodium-ion batteries,PF-S-55-1200,1200,2.0,,0.38,,,2.1,2.3,,酯类,1 M NaClO4 dissolved in ethylene carbonate (EC) and diethyl carbonate (DEC) (1:1 by volume),30.0,0.864,209.3,323.0,70.0,0.0,1.8489178830680035
217.0,High Proportion of Active Nitrogen-Doped Hard Carbon Based on Mannich Reaction as Anode Material for High-Performance Sodium-Ion Batteries,PTA-Lys-700,700,2.0,2.0,0.37,,,1.02,161.2,0.0921,酯类,1 M NaClO4 in EC and DMC (1 : 1 in volume) ,100.0,0.552,0.0,278.1,119.2,0.0,0.2087548138621104
,High Proportion of Active Nitrogen-Doped Hard Carbon Based on Mannich Reaction as Anode Material for High-Performance Sodium-Ion Batteries,PTA-Lys-800,800,2.0,2.0,0.39,,,1.03,189.7,0.2954,酯类,1 M NaClO4 in EC and DMC (1 : 1 in volume) ,100.0,0.513,0.0,367.2,196.1,0.0,0.05201172208817976
,High Proportion of Active Nitrogen-Doped Hard Carbon Based on Mannich Reaction as Anode Material for High-Performance Sodium-Ion Batteries,PTA-Lys-900,900,2.0,2.0,0.41,,,1.05,192.8,0.1224,酯类,1 M NaClO4 in EC and DMC (1 : 1 in volume) ,100.0,0.538,0.0,318.3,146.2,0.0,0.15229366908004574
227.0,Insights into the electrochemical properties of bagasse-derived hard carbon anode materials for sodium-ion battery,SW700,700,2.0,5.0,0.3863,2.13,2.02,1.53,290.0,,酯类,1 M NaClO4 salt dissolved in solvent EC: DEC (1:1 volume ratio),25.0,0.5,0.0,211.0,63.8,0.0,0.0
,Insights into the electrochemical properties of bagasse-derived hard carbon anode materials for sodium-ion battery,SW900,900,2.0,5.0,0.3809,3.25,2.19,1.42,255.0,,酯类,1 M NaClO4 salt dissolved in solvent EC: DEC (1:1 volume ratio),25.0,0.57,106.23,284.0,115.0,0.0,0.2818511521409875
,Insights into the electrochemical properties of bagasse-derived hard carbon anode materials for sodium-ion battery,SW1100,1100,2.0,5.0,0.3706,6.89,2.45,1.38,90.0,,酯类,1 M NaClO4 salt dissolved in solvent EC: DEC (1:1 volume ratio),25.0,0.62,96.83,256.0,85.3,0.0,0.4895482253187058
,"Interfacial-Catalysis-Enabled Layered and Inorganic-Rich SEI on Hard Carbon Anodes in
Ester Electrolytes for Sodium-Ion Batteries",P-HC,1200,3.0,3.0,0.38,,,1.05,63.9,0.036,酯类,"1.0 M NaPF6 dissolved in ethylene carbonate (EC)/diethyl carbonate 
(DEC) (1:1 by volume",50.0,0.69,165.83,345.23,110.2,0.0,0.8001193001121129
233.0,Investigating the Superior Performance of Hard Carbon Anodes in Sodium-Ion Compared With Lithium- and Potassium-Ion Batteries,G1000,1000,2.0,,0.41,1.39,1.21,0.88,382.0,,酯类,"1 M NaPF6 (EC: DMC, 1:1 v.%)",30.0,0.6288,52.71,213.95,,0.0,0.5270722402029514
,Investigating the Superior Performance of Hard Carbon Anodes in Sodium-Ion Compared With Lithium- and Potassium-Ion Batteries,G1300,1300,2.0,,0.393,1.48,1.25,0.99,10.0,,酯类,"1 M NaPF6 (EC: DMC, 1:1 v.%)",30.0,0.8412,151.94,279.07,,0.0,1.6671838950155091
,Investigating the Superior Performance of Hard Carbon Anodes in Sodium-Ion Compared With Lithium- and Potassium-Ion Batteries,G1500,1500,2.0,,0.383,1.55,1.32,1.1,11.0,,酯类,"1 M NaPF6 (EC: DMC, 1:1 v.%)",30.0,0.869,217.99,346.53,,0.0,1.8921458020642403
,Investigating the Superior Performance of Hard Carbon Anodes in Sodium-Ion Compared With Lithium- and Potassium-Ion Batteries,G1700,1700,2.0,,0.363,2.17,1.41,1.13,7.0,,酯类,"1 M NaPF6 (EC: DMC, 1:1 v.%)",30.0,0.7924,200.52,267.7,,0.0,1.3394531635326623
,Investigating the Superior Performance of Hard Carbon Anodes in Sodium-Ion Compared With Lithium- and Potassium-Ion Batteries,G1900,1900,2.0,,0.355,2.42,1.75,1.18,7.0,,酯类,"1 M NaPF6 (EC: DMC, 1:1 v.%)",30.0,0.7006,134.31,190.2,,0.0,0.8501566387778585
,Mechanochemistry transforming high-surface-area coal-based activated carbon into densified carbon with optimized multi-scale structures for enhanced sodium/potassium ion storage,CAC-M4,800,,10.0,0.359,3.09,1.32,2.32,108.0,0.03,酯类,"1.0 M NaClO4 in EC:DEC (1:1, vol%)",50.0,0.5315,0.0,341.52,205.9,0.0,0.1261670961035256
247.0,Microstructure regulation of resin-based hard carbons via esterification cross-linking for high-performance sodium-ion batteries,PFC ,1200,3.0,5.0,0.348,,,1.63,100.7,0.077,酯类,1 M NaClO4 solution in ethylene carbonate (EC) : diethyl carbonate (DEC) (volume ratio 1 : 1) ,30.0,0.733,67.3,163.3,,0.0,1.0098970434864019
,Microstructure regulation of resin-based hard carbons via esterification cross-linking for high-performance sodium-ion batteries,PPFC-1-10-1200 ,1200,3.0,5.0,0.381,,,1.89,49.1,0.038,酯类,1 M NaClO4 solution in ethylene carbonate (EC) : diethyl carbonate (DEC) (volume ratio 1 : 1) ,30.0,0.762,161.1,287.3,,0.0,1.1636758820151716
,Microstructure regulation of resin-based hard carbons via esterification cross-linking for high-performance sodium-ion batteries,PPFC-1-6-1200,1200,3.0,5.0,0.394,,,1.91,4.8,0.04,酯类,1 M NaClO4 solution in ethylene carbonate (EC) : diethyl carbonate (DEC) (volume ratio 1 : 1) ,30.0,0.779,184.9,308.7,,0.0,1.2598483443529955
,Microstructure regulation of resin-based hard carbons via esterification cross-linking for high-performance sodium-ion batteries,PPFC-1-2-1200,1200,3.0,5.0,0.374,,,1.85,29.6,0.109,酯类,1 M NaClO4 solution in ethylene carbonate (EC) : diethyl carbonate (DEC) (volume ratio 1 : 1) ,30.0,0.744,145.8,264.4,,0.0,1.0668635903535293
,Microstructure regulation of resin-based hard carbons via esterification cross-linking for high-performance sodium-ion batteries,PPFC-1-6-1100,1100,3.0,5.0,0.408,,,2.14,13.0,0.045,酯类,1 M NaClO4 solution in ethylene carbonate (EC) : diethyl carbonate (DEC) (volume ratio 1 : 1) ,30.0,0.755,133.02,276.8,,0.0,1.1254595387042978
,Micros+B302:B310tructure regulation of resin-based hard carbons via esterification cross-linking for high-performance sodium-ion batteries,PPFC-1-6-1300,1300,3.0,5.0,0.379,,,1.87,4.2,,酯类,1 M NaClO4 solution in ethylene carbonate (EC) : diethyl carbonate (DEC) (volume ratio 1 : 1) ,30.0,0.804,149.72,276.0,,0.0,1.4114846099484495
